variant_label,envelope_weight,structural_weight,support_weight,center_weight,span_threshold_mm,case_count,all_target_slot_case_count,failed_case_count,mean_target_slot_hit_count,mean_max_target_slot_abs_error_mm,close_pair_mode_case_count,regular_mode_case_count,min_component_candidate_count,truth_free_selection_at_inference,uses_branch_slots_for_selection,uses_truth_for_grid_scoring
env4_struct0.4_support0_center0.1_span105,4.0,0.4,0.0,0.1,105.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env4_struct0.6_support0_center0_span90,4.0,0.6,0.0,0.0,90.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env4_struct0.6_support0_center0_span100,4.0,0.6,0.0,0.0,100.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env4_struct0.6_support0_center0_span105,4.0,0.6,0.0,0.0,105.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env4_struct0.6_support0_center0.1_span90,4.0,0.6,0.0,0.1,90.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env4_struct0.6_support0_center0.1_span100,4.0,0.6,0.0,0.1,100.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env4_struct0.6_support0_center0.1_span105,4.0,0.6,0.0,0.1,105.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env4_struct0.8_support0_center0_span90,4.0,0.8,0.0,0.0,90.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env4_struct0.8_support0_center0_span100,4.0,0.8,0.0,0.0,100.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env4_struct0.8_support0_center0_span105,4.0,0.8,0.0,0.0,105.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env4_struct0.8_support0_center0.1_span90,4.0,0.8,0.0,0.1,90.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env4_struct0.8_support0_center0.1_span100,4.0,0.8,0.0,0.1,100.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env4_struct0.8_support0_center0.1_span105,4.0,0.8,0.0,0.1,105.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env2_struct0.4_support0_center0_span90,2.0,0.4,0.0,0.0,90.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env2_struct0.4_support0_center0_span100,2.0,0.4,0.0,0.0,100.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env2_struct0.4_support0_center0_span105,2.0,0.4,0.0,0.0,105.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env2_struct0.4_support0_center0.1_span90,2.0,0.4,0.0,0.1,90.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env2_struct0.4_support0_center0.1_span100,2.0,0.4,0.0,0.1,100.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env2_struct0.4_support0_center0.1_span105,2.0,0.4,0.0,0.1,105.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.8_support0.12_center0_span90,1.0,0.8,0.12,0.0,90.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.8_support0.12_center0_span100,1.0,0.8,0.12,0.0,100.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.8_support0.12_center0_span105,1.0,0.8,0.12,0.0,105.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.8_support0.12_center0.1_span90,1.0,0.8,0.12,0.1,90.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.8_support0.12_center0.1_span100,1.0,0.8,0.12,0.1,100.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.8_support0.12_center0.1_span105,1.0,0.8,0.12,0.1,105.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.6_support0.08_center0_span90,1.0,0.6,0.08,0.0,90.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.6_support0.08_center0_span100,1.0,0.6,0.08,0.0,100.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.6_support0.08_center0_span105,1.0,0.6,0.08,0.0,105.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.6_support0.08_center0.1_span90,1.0,0.6,0.08,0.1,90.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.6_support0.08_center0.1_span100,1.0,0.6,0.08,0.1,100.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.6_support0.08_center0.1_span105,1.0,0.6,0.08,0.1,105.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.8_support0.08_center0_span90,1.0,0.8,0.08,0.0,90.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.8_support0.08_center0_span100,1.0,0.8,0.08,0.0,100.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.8_support0.08_center0_span105,1.0,0.8,0.08,0.0,105.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.8_support0.08_center0.1_span90,1.0,0.8,0.08,0.1,90.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.8_support0.08_center0.1_span100,1.0,0.8,0.08,0.1,100.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.8_support0.08_center0.1_span105,1.0,0.8,0.08,0.1,105.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.6_support0_center0_span90,1.0,0.6,0.0,0.0,90.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.6_support0_center0_span100,1.0,0.6,0.0,0.0,100.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.6_support0_center0_span105,1.0,0.6,0.0,0.0,105.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.6_support0_center0.1_span90,1.0,0.6,0.0,0.1,90.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.6_support0_center0.1_span100,1.0,0.6,0.0,0.1,100.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.6_support0_center0.1_span105,1.0,0.6,0.0,0.1,105.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.8_support0_center0_span90,1.0,0.8,0.0,0.0,90.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.8_support0_center0_span100,1.0,0.8,0.0,0.0,100.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.8_support0_center0_span105,1.0,0.8,0.0,0.0,105.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.8_support0_center0.1_span90,1.0,0.8,0.0,0.1,90.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.8_support0_center0.1_span100,1.0,0.8,0.0,0.1,100.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env1_struct0.8_support0_center0.1_span105,1.0,0.8,0.0,0.1,105.0,12,11,1,2.9166666666666665,5.416666666666667,6,6,16,True,False,True
env2_struct0.6_support0_center0_span90,2.0,0.6,0.0,0.0,90.0,12,11,1,2.9166666666666665,5.583333333333333,6,6,16,True,False,True
env2_struct0.6_support0_center0_span100,2.0,0.6,0.0,0.0,100.0,12,11,1,2.9166666666666665,5.583333333333333,6,6,16,True,False,True
env2_struct0.6_support0_center0_span105,2.0,0.6,0.0,0.0,105.0,12,11,1,2.9166666666666665,5.583333333333333,6,6,16,True,False,True
env2_struct0.6_support0_center0.1_span90,2.0,0.6,0.0,0.1,90.0,12,11,1,2.9166666666666665,5.583333333333333,6,6,16,True,False,True
env2_struct0.6_support0_center0.1_span100,2.0,0.6,0.0,0.1,100.0,12,11,1,2.9166666666666665,5.583333333333333,6,6,16,True,False,True
env2_struct0.6_support0_center0.1_span105,2.0,0.6,0.0,0.1,105.0,12,11,1,2.9166666666666665,5.583333333333333,6,6,16,True,False,True
env1_struct0.4_support0_center0_span90,1.0,0.4,0.0,0.0,90.0,12,11,1,2.9166666666666665,5.583333333333333,6,6,16,True,False,True
env1_struct0.4_support0_center0_span100,1.0,0.4,0.0,0.0,100.0,12,11,1,2.9166666666666665,5.583333333333333,6,6,16,True,False,True
env1_struct0.4_support0_center0_span105,1.0,0.4,0.0,0.0,105.0,12,11,1,2.9166666666666665,5.583333333333333,6,6,16,True,False,True
env1_struct0.4_support0_center0.1_span90,1.0,0.4,0.0,0.1,90.0,12,11,1,2.9166666666666665,5.583333333333333,6,6,16,True,False,True
env1_struct0.4_support0_center0.1_span100,1.0,0.4,0.0,0.1,100.0,12,11,1,2.9166666666666665,5.583333333333333,6,6,16,True,False,True
env1_struct0.4_support0_center0.1_span105,1.0,0.4,0.0,0.1,105.0,12,11,1,2.9166666666666665,5.583333333333333,6,6,16,True,False,True
env6_struct0_support0.12_center0.1_span90,6.0,0.0,0.12,0.1,90.0,12,11,1,2.9166666666666665,6.416666666666667,6,6,16,True,False,True
env6_struct0_support0.12_center0.1_span100,6.0,0.0,0.12,0.1,100.0,12,11,1,2.9166666666666665,6.416666666666667,6,6,16,True,False,True
env6_struct0_support0.12_center0.1_span105,6.0,0.0,0.12,0.1,105.0,12,11,1,2.9166666666666665,6.416666666666667,6,6,16,True,False,True
env6_struct0_support0.12_center0_span90,6.0,0.0,0.12,0.0,90.0,12,11,1,2.9166666666666665,6.5,6,6,16,True,False,True
env6_struct0_support0.12_center0_span100,6.0,0.0,0.12,0.0,100.0,12,11,1,2.9166666666666665,6.5,6,6,16,True,False,True
env6_struct0_support0.12_center0_span105,6.0,0.0,0.12,0.0,105.0,12,11,1,2.9166666666666665,6.5,6,6,16,True,False,True
env6_struct0_support0.08_center0_span90,6.0,0.0,0.08,0.0,90.0,12,11,1,2.9166666666666665,6.5,6,6,16,True,False,True
env6_struct0_support0.08_center0_span100,6.0,0.0,0.08,0.0,100.0,12,11,1,2.9166666666666665,6.5,6,6,16,True,False,True
env6_struct0_support0.08_center0_span105,6.0,0.0,0.08,0.0,105.0,12,11,1,2.9166666666666665,6.5,6,6,16,True,False,True
env4_struct0_support0.12_center0.1_span90,4.0,0.0,0.12,0.1,90.0,12,11,1,2.9166666666666665,6.5,6,6,16,True,False,True
env4_struct0_support0.12_center0.1_span100,4.0,0.0,0.12,0.1,100.0,12,11,1,2.9166666666666665,6.5,6,6,16,True,False,True
env4_struct0_support0.12_center0.1_span105,4.0,0.0,0.12,0.1,105.0,12,11,1,2.9166666666666665,6.5,6,6,16,True,False,True
env2_struct0_support0.12_center0.1_span90,2.0,0.0,0.12,0.1,90.0,12,11,1,2.9166666666666665,6.5,6,6,16,True,False,True
env2_struct0_support0.12_center0.1_span100,2.0,0.0,0.12,0.1,100.0,12,11,1,2.9166666666666665,6.5,6,6,16,True,False,True
env2_struct0_support0.12_center0.1_span105,2.0,0.0,0.12,0.1,105.0,12,11,1,2.9166666666666665,6.5,6,6,16,True,False,True
env4_struct0_support0.12_center0_span90,4.0,0.0,0.12,0.0,90.0,12,11,1,2.9166666666666665,6.583333333333333,6,6,16,True,False,True
env4_struct0_support0.12_center0_span100,4.0,0.0,0.12,0.0,100.0,12,11,1,2.9166666666666665,6.583333333333333,6,6,16,True,False,True
env4_struct0_support0.12_center0_span105,4.0,0.0,0.12,0.0,105.0,12,11,1,2.9166666666666665,6.583333333333333,6,6,16,True,False,True
env4_struct0_support0.08_center0_span90,4.0,0.0,0.08,0.0,90.0,12,11,1,2.9166666666666665,6.583333333333333,6,6,16,True,False,True
env4_struct0_support0.08_center0_span100,4.0,0.0,0.08,0.0,100.0,12,11,1,2.9166666666666665,6.583333333333333,6,6,16,True,False,True
env4_struct0_support0.08_center0_span105,4.0,0.0,0.08,0.0,105.0,12,11,1,2.9166666666666665,6.583333333333333,6,6,16,True,False,True
env2_struct0_support0.12_center0_span90,2.0,0.0,0.12,0.0,90.0,12,11,1,2.9166666666666665,6.583333333333333,6,6,16,True,False,True
env2_struct0_support0.12_center0_span100,2.0,0.0,0.12,0.0,100.0,12,11,1,2.9166666666666665,6.583333333333333,6,6,16,True,False,True
env2_struct0_support0.12_center0_span105,2.0,0.0,0.12,0.0,105.0,12,11,1,2.9166666666666665,6.583333333333333,6,6,16,True,False,True
env2_struct0_support0.08_center0_span90,2.0,0.0,0.08,0.0,90.0,12,11,1,2.9166666666666665,6.583333333333333,6,6,16,True,False,True
env2_struct0_support0.08_center0_span100,2.0,0.0,0.08,0.0,100.0,12,11,1,2.9166666666666665,6.583333333333333,6,6,16,True,False,True
env2_struct0_support0.08_center0_span105,2.0,0.0,0.08,0.0,105.0,12,11,1,2.9166666666666665,6.583333333333333,6,6,16,True,False,True
env1_struct0_support0.12_center0.1_span90,1.0,0.0,0.12,0.1,90.0,12,11,1,2.9166666666666665,6.75,6,6,16,True,False,True
env1_struct0_support0.12_center0.1_span100,1.0,0.0,0.12,0.1,100.0,12,11,1,2.9166666666666665,6.75,6,6,16,True,False,True
env1_struct0_support0.12_center0.1_span105,1.0,0.0,0.12,0.1,105.0,12,11,1,2.9166666666666665,6.75,6,6,16,True,False,True
env1_struct0_support0.12_center0_span90,1.0,0.0,0.12,0.0,90.0,12,11,1,2.9166666666666665,6.833333333333333,6,6,16,True,False,True
env1_struct0_support0.12_center0_span100,1.0,0.0,0.12,0.0,100.0,12,11,1,2.9166666666666665,6.833333333333333,6,6,16,True,False,True
env1_struct0_support0.12_center0_span105,1.0,0.0,0.12,0.0,105.0,12,11,1,2.9166666666666665,6.833333333333333,6,6,16,True,False,True
env1_struct0_support0.08_center0_span90,1.0,0.0,0.08,0.0,90.0,12,11,1,2.9166666666666665,6.916666666666667,6,6,16,True,False,True
env1_struct0_support0.08_center0_span100,1.0,0.0,0.08,0.0,100.0,12,11,1,2.9166666666666665,6.916666666666667,6,6,16,True,False,True
env1_struct0_support0.08_center0_span105,1.0,0.0,0.08,0.0,105.0,12,11,1,2.9166666666666665,6.916666666666667,6,6,16,True,False,True
